專案名稱,關鍵字 號碼,關鍵字
氣候變遷對太平洋及大西洋主要鮪類資源及漁場變動之影響－南太平洋長鰭鮪之研究暨大西洋主要鮪類之彙整分析,"[133, 464, 576, 1154]","太平洋, 長鰭鮪, 氣候變遷, 鮪漁場學"
氣候變遷對印度洋鮪旗類漁海況暨資源影響研究-印度洋主要鮪類資源及漁場分佈與中長期海洋環境變動關係之影響,"[273, 464, 842, 1154]","印度洋, 長鰭鮪, 黃鰭鮪, 鮪漁場學"
澎湖海域海草(床)生態調查及與漁業資源保育相關性研究,"[271, 576, 586, 588]","共棲生物相, 氣候變遷, 海洋酸化, 海草"
飼料稻米專案試辦計畫,"[564, 576, 956]","栽培技術, 氣候變遷, 飼料稻米"
因應全球氣候變遷對糧食安全威脅之國際農業科技合作計畫,"[234, 576, 862]","生物能源, 氣候變遷, 溫室氣體"
因應氣候變遷對水稻病蟲害預警制度及安全管理技術之建立,"[178, 289, 576, 947]","水稻病蟲害, 安全管理技術, 氣候變遷, 預警制度"
因應氣候變遷重要人畜共通傳染病—狂犬病、禽流感及傳播性海綿狀腦病等病原環境監控與疾病控制模式之研習,"[86, 576, 739, 745]","人畜共通疾病, 氣候變遷, 野生動物保育醫學, 鹿慢性消耗病"
發展茶業決策支援管理系統,"[153, 275, 361, 579, 617, 619, 756, 1181]","水分管理, 合理化施肥, 決策支援系統, 氣象災害, 茶, 茶葉選購, 復耕, 雜草防治"
建構因應氣候變遷之台灣糧食生產評估系統,"[342, 530, 576, 1158]","作物模式, 降尺度, 氣候變遷, 糧食安全"
臺灣周邊海域因氣候變遷流系消長對重要經濟性魚種漁業資源變動影響之研究,"[576, 587, 965]","氣候變遷, 海流, 漁業資料庫"
臺灣周邊海域基礎生產力監測及湧昇流漁業資源調查,"[166, 576, 679, 800, 937, 966, 1119]","水溫, 氣候變遷, 基礎生產力, 湧昇流, 過漁指數, 漁獲平衡指數, 營養位階"
評估氣候變遷對農業用水影響?以曾文水庫為例,"[401, 576, 762]","供水, 氣候變遷, 曾文水庫"
氣候變遷對作物需水量與灌溉用水量之衝擊評估,"[341, 576, 1211]","作物需水量, 氣候變遷, 灌溉需水量"
氣候變遷對嘉南灌區灌溉水源枯水期旬流量之影響評估,"[352, 576, 1205]","序率模擬, 氣候變遷, 灌溉水源"
因應氣候變遷地下水補充灌溉用水管理策略研究,"[157, 280, 576]","水田, 地下水, 氣候變遷"
台灣南部地區臭氧於氣候變遷下之變化潛勢,"[576, 613, 1191]","氣候變遷, 臭氧, 類神經網路"
因應氣候變遷智慧型農業水資源調配策略,"[172, 761, 916]","水資源調配, 智慧理論, 農業用水"
因應氣候變遷水田最適灌溉用水調配之研究,"[157, 874, 1207]","水田, 節水灌溉, 灌溉用水量"
因應氣候變遷稻作田間灌溉管理之研究,"[174, 254, 576]","水稻, 田間灌溉管理, 氣候變遷"
氣候變遷之水旱田不同灌溉方式作物需水量與節水策略研究,"[341, 576, 873]","作物需水量, 氣候變遷, 節水"
韌性理論應用於氣候變遷對灌溉系統之影響評估,"[576, 838, 1208]","氣候變遷, 韌性理論, 灌溉系統"
因應氣候變遷之平坦灌區蓄水防災能力分析,"[731, 939, 996]","術值高程模式, 零慣性波, 窪陷填平"
因應氣候變遷農業灌溉用水調度水價分析,"[576, 916, 1066]","氣候變遷, 農業用水, 調度水價"
建立飼料玉米種子籌供體系,"[217, 576, 983, 989, 1178, 1193]","玉米, 氣候變遷, 種子倉儲, 種子調製, 雜交玉米, 籌供體系"
水稻有害生物相及氣候變遷相關資料調查,"[175, 576, 1049]","水稻有害生物相, 氣候變遷, 稻熱病"
臺南區洋香瓜病毒病整合性防治技術研究,"[576, 599, 750]","氣候變遷, 病毒病, 媒介昆蟲"
氣候變遷對病媒蚊的影響及因應對策之研究,"[184, 559, 576, 844, 970, 1080]","牛流行熱, 庫蠓, 氣候變遷, 嗜牛庫蠓, 監測, 養牛場"
因應氣候變遷之重大人畜共通傳染病防檢疫策略與技術推廣,"[355, 391, 527, 576, 819, 1114]","技術推廣, 防疫, 重大人畜共通傳染病, 氣候變遷, 策略, 檢疫"
因應氣候變遷強化草食及水生動物人畜共通傳染病診治訓?計畫,"[155, 329, 623, 628]","水生動物, 住院醫師, 草食動物, 訓練計畫"
氣候變遷對太平洋長鰭鮪資源及漁場影響之研究,"[133, 464, 576, 1154]","太平洋, 長鰭鮪, 氣候變遷, 鮪漁場學"
氣候變遷對大西洋長鰭鮪漁況影響之研究暨印度洋研究報告之彙整分析,"[273, 464, 842, 1154]","印度洋, 長鰭鮪, 黃鰭鮪, 鮪漁場學"
澎湖海域海草（床）生態調查及與漁業資源保育相關性研究(II),"[271, 576, 588]","共棲生物相, 氣候變遷, 海草"
氣候變遷對坡地防災規劃之影響評估計畫,"[88, 374, 576, 682]","土石流, 災害潛勢, 氣候變遷, 崩塌"
因應氣候變遷重點集水區保育策略之研究(1/2),"[478, 529, 576]","保育策略, 重點集水區, 氣候變遷"
氣候變遷下廣泛分布樹種之區內外保存(2/4),"[576, 593, 678, 984, 1034, 1138, 1200]","氣候變遷, 烏心石, 培育苗木, 種子採集和發芽, 樟樹, 穗條嫁接, 櫸樹"
森林生態系對氣候變遷之反應–於森林動態樣區建立監測系統(3/3),"[441, 576, 772, 1084]","物候, 氣候變遷, 森林動態, 樹木生長環"
節能減碳研究團隊─因應氣候變化之永續森林經營策略分析(1/4),"[215, 576, 780]","永續森林經營, 氣候變遷, 森林認證"
氣候變遷對於蕨類物候之影響(2/5),"[441, 576, 1100]","物候, 氣候變遷, 蕨類"
探討環境變遷對台灣濕地生態系影響之研究,"[165, 202, 229, 414, 434, 507, 576, 795, 975, 976, 1002, 1036, 1091, 1115, 1197]","水鳥, 台灣招潮蟹, 生物多樣性, 底棲微藻, 河川棲地模式, 紅樹林, 氣候變遷, 植群, 碳吸存, 碳吸收, 綜合適合度指數, 模式評估, 澤蟹屬, 濕地, 藻礁"
環境變遷對台灣高山生態系影響之研究(1/2),"[106, 203, 438, 695, 970, 1061]","大蚊科, 台灣高山杜鵑, 爬蟲類, 族群動態, 監測, 蝶類群聚"
生物資源災損評估及預警之研究（2/3）,"[131, 229, 269, 408]","天然災害, 生物多樣性, 全球暖化, 受害評估"
建立氣候變遷對生物多樣性風險與脆弱度評估模式及因應策略規劃,"[229, 576, 821]","生物多樣性, 氣候變遷, 策略規劃"
入侵物種可能擴散之分布模式建立與預測（3/3）,"[38, 43, 204, 248, 265, 576, 943]","GISIN, IAS, 外來入侵物種, 生態棲位, 全球入侵物種資訊網, 氣候變遷, 預測模型"
氣候變遷下的林木外來種植食性昆蟲入侵風險評估（3/3）,"[207, 538, 552, 576, 794]","外來種植食性昆蟲, 風險評估, 害蟲, 氣候變遷, 植食性"
建構糧食安全體系策略地圖之研究,"[820, 1158, 1163]","策略地圖, 糧食安全, 糧食安全體系"
建立糧食安全應變處置與預警系統之研究,"[294, 969, 1158]","早期預警系統, 監控與預測, 糧食安全"
提升國產消費潛能開發國產農產品新需求與市場之研究,"[592, 667, 852, 957, 1164]","消費潛能開發, 國產農產品, 新需求與市場, 對策, 糧食自給率"
氣候變遷下農地脆弱度評估與調適策略之研究,"[576, 612, 900, 1068]","氣候變遷, 脆弱度評估, 農地, 調適策略"
農民對氣候變遷的風險知覺及災後調適策略之研究－以高屏地區蓮霧果農為例,"[364, 536, 576]","災後調適, 風險知覺, 氣候變遷"
國際間相關糧食儲備機制設計與運作之研究,"[1158, 1167, 1170]","糧食安全, 糧食援助, 糧食儲備機制"
建構因應糧食安全暨貿易自由化統計指標與資料蒐集制度之研究,"[449, 829, 920, 1161]","直接給付, 貿易自由化指標, 農業保險, 糧食安全指標"
主要糧食供需資訊蒐集制度之研究,"[287, 665, 936]","存貨調查, 國內供給分配, 運銷通路"
飼料玉米耐熱種原之篩選與繁殖,"[219, 519, 1141]","玉米種質, 耐熱篩選, 繁殖"
推動台灣農產品碳標籤可行性之研究,"[210, 227, 523, 541, 542, 590, 888, 977, 980, 1055]","市場接受度, 生命週期評估, 胡蘿蔔, 食物里程, 食物哩程, 消費者認知, 落花生, 碳足跡, 碳標籤, 蔬菜"
因應氣候變遷之水稻耐熱性、褐飛蝨抗性評估及種原繁殖,"[560, 649, 1048, 1065]","核心種原, 高溫逆境, 稻種原, 褐飛蝨"
農民對氣候變遷的風險知覺與決策行為之研究,"[362, 540, 576, 910]","決策行為, 風險認知, 氣候變遷, 農場經營"
氣候變遷災後農村公共衛生及健康管理調適策略之研究,"[122, 451, 576, 656]","公共衛生, 知識管理, 氣候變遷, 健康管理"
小麥耐熱種原評估,"[111, 380, 649]","小麥, 育種, 高溫逆境"
中部地區作物栽培環境親和輪作體制之建立,"[562, 1070, 1131]","栽培, 輪作, 環境親和"
草生栽培對粘板岩沖積土壤碳匯和果樹調適極端氣候之影響,"[99, 622, 859]","土壤碳匯, 草生栽培, 極端氣候"
氣候變遷下臺灣高海拔地區野生動物指標類群族群變化監測模式之建立,"[108, 438, 462, 492, 637, 660, 856, 971, 1060, 1142]","小型哺乳類, 爬蟲類, 長期監測, 指標物種, 高山地區, 動物相, 楚南氏山椒魚, 監測模式, 蝶類, 繁殖鳥類"
臺東地區原住民重要糧食作物耐旱種原篩選及栽培利用,"[107, 740, 1017, 1086]","小米, 陸稻, 臺灣藜, 樹豆"
耐逆境水稻及蔬菜種原篩選與評估,"[156, 174, 483, 630, 809, 1195]","水生植物, 水稻, 南瓜, 逆境, 番杏, 糯米團"
水稻耐熱品種研發及因應高溫逆境栽培技術之研究,"[174, 486, 517]","水稻, 品種, 耐熱"
花蓮宜蘭地區環境親和型水旱田輪作模式之建立,"[104, 174, 217, 465, 1070]","大豆, 水稻, 玉米, 青蔥, 輪作"
耐低溫大豆品種選育及低投施栽培技術改進,"[104, 380, 564]","大豆, 育種, 栽培技術"
耐旱節水水稻新品系之研發,"[174, 380, 873]","水稻, 育種, 節水"
雲嘉南地區環境親和型旱田輪作經營模式,"[251, 505, 522, 709, 843, 1004, 1148]","田菁, 紅高粱, 胡麻, 甜玉米, 黑豆, 綠豆, 薏苡"
氣候變遷對授粉昆蟲行為模式生態影響及生產因應對策,"[318, 576, 690]","行為生態, 氣候變遷, 授粉昆蟲"
北部地區耐旱山藥及耐寒玉米之種原篩選與繁殖,"[331, 576, 992]","作物生產, 氣候變遷, 種原"
北部地區環境親合型水稻與旱田作物輪作經營模式之建立,"[288, 321, 877, 1070, 1130]","安全農業, 低汙染, 節能, 輪作, 環境親合型耕作制度"
茶及油茶耐低溫、高溫及乾旱新品系選育及產品之開發,"[436, 617, 630, 1103]","油茶, 茶, 逆境, 選育"
暖冬與低溫對茶業產製銷及共同物流需求之研究,"[324, 403, 440, 617, 855]","低溫, 供應, 物流, 茶, 暖冬"
耐熱性紅豆種原篩選及春作品種選育,"[486, 504, 992, 1096, 1103]","品種, 紅豆, 種原, 篩選, 選育"
發展新式米油萃取及去油米糠之蛋白回收利用技術,"[85, 299, 308, 435, 725, 1188]","二氧化碳超臨界萃取, 有機溶劑奈米過濾, 米脂, 油脂精練, 脫酸, 穩定化"
毛豆外銷專區及恆春地區洋蔥環境親和型輪作系統經營模式建立,"[149, 498, 1005, 1070, 1132]","毛豆, 洋蔥, 綠肥, 輪作, 環境親和型"
耐逆境牛樟、泡桐與雜交桉種原篩選與利用(1/4),"[186, 513, 1179, 1180]","牛樟, 耐逆境, 雜交泡桐, 雜交桉"
耐熱性小麥及大豆種原篩選與繁殖,"[104, 111, 994]","大豆, 小麥, 種原評估"
建立因應氣候變遷之水旱輪作制度調適之研究,"[95, 100, 168, 280, 576, 607, 915, 1070]","土壤肥力, 土壤管理, 水資源, 地下水, 氣候變遷, 耕作制度, 農業生態系, 輪作"
氣候變遷之農業生產調適決策支援系統之建置,"[361, 576, 913, 914, 1158, 1164]","決策支援系統, 氣候變遷, 農業生產, 農業生產調適, 糧食安全, 糧食自給率"
豪雨時期短期葉菜生產及快速復耕技術,"[562, 892, 1146]","栽培, 葉菜類, 蕹菜"
應用綠肥營造環境親和型水旱田輪作經營模式,"[576, 1005, 1135]","氣候變遷, 綠肥, 環境親和型耕作模式"
冬作耐濕馬鈴薯品種選育,"[520, 634, 1120]","耐濕性, 馬鈴薯, 營養系"
氣候變遷對授粉昆蟲行為模式與生態影響及生產因應對策-設施內茄科蔬菜利用蜜蜂授粉生產之研究,"[430, 431, 576, 1019]","果實品質, 果實產量, 氣候變遷, 蜜蜂授粉"
2012米食加工趨勢國際研討會（系列一）暨「因應氣候變遷及糧食安全之農業創新研究計畫成果發表會」計畫,"[306, 674, 1149]","米食加工, 國際研討會, 趨勢"
國產米製備中式鹼麵類產品量產與推廣,"[303, 1108, 1198, 1216]","米, 餛飩, 麵條, 鹼麵"
米麵條擠壓蒸煮加工技術之研究,"[311, 1113, 1198]","米穀粉, 擠壓加工, 麵條"
國產富機能性米穀粉應用於新穎中式麵條之研發,"[295, 311, 853]","有色米, 米穀粉, 新穎中式米麵條"
辦理2012米食加工趨勢國際研討會（系列二）,"[306, 674, 1158]","米食加工, 國際研討會, 糧食安全"
強老化抗性米穀烏龍麵開發,"[311, 356, 595, 1069, 1194]","米穀粉, 抗老化, 烏龍麵, 質地輪廓分析, 糯米"
米種與添加量對米麵包及米蛋糕升糖指數之影響,"[129, 167, 303, 309, 313]","升糖指數, 水解指數, 米, 米蛋糕, 米麵包"
因應氣候變遷之多元化禽畜飼料資源與營養配方開發研究- 3.海藻飼料化應用研究,"[528, 555, 589, 948]","重金屬, 家畜禽, 海藻, 飼料"
廢菇包轉化為肉牛飼料之研究,"[728, 954, 1031]","荷蘭閹公牛, 飼料價值, 廢菇包"
樹薯替代玉米為家禽能量飼料之研究,"[285, 314, 556, 610, 954, 1087]","多元利用, 肉雞, 家禽, 能量飼作, 飼料價值, 樹薯"
以發酵程序提升雞血於飼糧之應用價值,"[817, 1026, 1184]","發酵, 價值, 雞血"
高產飼料玉米品種選育,"[199, 380, 949]","台灣, 育種, 飼料玉米"
高產??稻米品種選育及生產模式之建?-臺南區農業改良場,"[174, 644, 955]","水稻, 高產, 飼料稻"
北部地區飼料甘藷品種選育,"[486, 950, 1103]","品種, 飼料甘藷, 選育"
北部地區飼料玉米及甘藷低投入省工栽培輪作系統建立,"[224, 949, 1071]","甘藷, 飼料玉米, 輪作系統"
因應氣候變遷之多元化禽畜飼料資源與營養配方開發研究,"[191, 228, 236, 255, 279, 285, 314, 398, 457, 487, 555, 556, 610, 657, 727, 728, 730, 817, 818, 824, 951, 952, 954, 955, 1026, 1031, 1045, 1087, 1088, 1184]","代謝能, 生物可利用性, 生長性能, 白肉雞, 在地飼料資源, 多元利用, 肉雞, 乳酸菌, 芝麻粕, 品種鑑定, 家畜禽, 家禽, 能量飼作, 副產物, 荷蘭閹公, 荷蘭閹公牛, 蛋雞飼料, 發酵, 發酵雞血粉, 菇包殘基, 飼料用甘藷, 飼料安全, 飼料價值, 飼料稻, 價值, 廢菇包, 盤固草, 樹薯, 樹薯粉, 雞血"
高產飼料稻米品種選育及生產模式之建立-高雄區農業改良場,"[644, 645, 889, 953]","高產, 高蛋白, 落粒性, 飼料米"
高產??稻米品種選育及生產模式之建?-農業試驗所,"[174, 955, 956, 1010, 1164]","水稻, 飼料稻, 飼料稻米, 聚合育種, 糧食自給率"
提升飼料米產量與糙米粗蛋白質含量之關鍵性管理技術研究,"[101, 197, 955]","土壤管理組, 可消化養分總量, 飼料稻"
台灣地區推廣種植飼料稻米之經濟效益研究,"[881, 928, 956]","經濟效益, 農業部門, 飼料稻米"
台灣中部颱風災害前後果樹營養管理調整研究,"[131, 753, 1023]","天然災害, 復育, 颱風"
臺灣西南海域海洋水文環境與漁業資源漁場變動監測研究,"[154, 412, 963]","水文環境, 底拖網, 漁場"
流失番荔枝果園之復耕技術研究及鳳梨釋迦果園防風栽培模式之建立,"[392, 811, 1025]","防風栽培技術, 番荔枝, 鳳梨釋迦"
颱風前後青蔥採後處理及快速加工利用之研究,"[152, 193, 465, 692]","水分含量, 加工, 青蔥, 採收後處理"
臺灣南部木瓜、文旦柚颱風、豪雨前後栽培管理及復育技術之建立,"[139, 145, 399, 576, 754, 825]","文旦柚, 木瓜, 亞磷酸, 氣候變遷, 復育技術, 菌根菌"
降雨變化對茶葉生育之影響與對策之研究,"[532, 576, 617]","降雨變化, 氣候變遷, 茶"
因應氣候變遷森林生長環境脆弱指標及調適策略研究（1/4）,"[92, 247, 249, 614, 773, 836]","土砂災害, 生態脆弱度, 生態模型, 航遙測, 森林動態樣區, 集水區"
國產糧食之緊急採收貯藏與長期天然貯藏系統之研發,"[488, 584, 1052, 1055]","品質, 氣調貯藏, 窯洞貯藏, 蔬菜"
豪雨災後高致病性之作物病害種類調查及管理,"[600, 706, 997, 1055]","病害, 淹水, 管理, 蔬菜"
養殖生產區防洪研究,"[283, 1053, 1082]","地理資訊系統, 線上查詢系統, 養殖漁業生產區"
溫室環境精準調控應用於茄科蔬菜生產,"[185, 526, 860, 1040, 1127]","牛番茄, 茄科蔬菜, 溫室, 熟果甜椒, 環境控制"
建立區域性畜禽糞生質能發電模式之研究計畫,"[250, 437, 558, 596, 816, 871, 1095, 1140]","生質能, 沼氣, 家禽場, 畜禽糞, 發電, 禽糞, 燃燒, 糞便"
設施蔬菜節能及自動化灌溉生產體系之開發與應用,"[733, 789, 810, 960]","設施栽培, 植物工廠, 番茄, 滴灌"
利用農業廢棄物開發多功能育苗容器之研究,"[525, 618, 1030]","苗盆, 茶葉, 廢棄物"
農產廢棄物稻殼稻桿回歸農田再利用之研究,"[931, 972, 1097]","農業廢棄物, 碳化稻殼, 膨化稻稈"
組織培養節能設備及技術之開發,"[134, 260, 261, 262, 722, 812, 845, 876]","太陽能, 光週期, 光量度, 光質, 組織培養, 發光二極體, 塑膠培養瓶, 節約能源"
因應氣候變遷之國際農業科技交流合作-抗、耐逆境水稻品種之開發,"[208, 267, 514, 632, 670, 995, 1050]","外表型評估, 全球氣候變遷, 耐逆境基因, 逆境調適能力之水稻, 國際合作, 種原評估/交換, 稻熱病/白葉枯病"
氣候變遷逆境對植物生理與病理所產生之影響,"[120, 576, 790, 792, 863, 979]","元素分析, 氣候變遷, 植物生理, 植物病理, 溫度, 碳測定"
強化稻作育種技術以因應暖化衝擊及提升糧食自給率 (IRRI)_1. 抗稻熱病品種選育,"[176, 576, 631, 1049]","水稻自給率, 氣候變遷, 逆境耐/抗性, 稻熱病"
水產尖端技術研習與學術交流－赴美國進行氣候變遷對海洋漁業影響之研究及技術交流,"[283, 576, 1063, 1214]","地理資訊系統, 氣候變遷, 衛星遙測影像, 鰹鮪圍網漁業"
氣候變遷下媒介昆蟲預測系統在防治上之應用,"[235, 576, 1147]","生物積溫模式, 氣候變遷, 薊馬"
