計畫名稱,關鍵字 號碼,關鍵字,綱要名稱,綱要名稱(關鍵字),中文摘要,中文摘要(關鍵字)
氣候變遷對植物健康及檢疫措施之影響,"[576, 793, 1114]","氣候變遷, 植物健康, 檢疫",農業,農業,氣候變遷對植物健康與防檢疫措施之影響的相關研究不多，大多數的研究工作集中於對於植物病害與病原之影響。本計畫藉由邀請國內外學者專家舉辦” 氣候變遷對植物健康與防檢疫措施之影響研討會” 進行相關資訊之收集及專業人員交流，以協助建立國內相關專業能力，進而擬定因應策略。,"植物病害, 措施, 病原, 研究, 交流, 能力, 工作"
因應全球暖化之水稻耐旱與抗白葉枯病新品種的開發,"[124, 256, 509, 1110]","分子輔助選拔, 白葉枯病, 耐旱, 優質米",農業,農業,分別收集及引進具有耐旱與抗白葉枯病的稻品種(系)材料，分別進行耐旱及本土菌株之抗白葉枯病篩檢以建立抗性種原的基本資料。(1)引進並培育已知分別具有白葉枯病抗性與耐旱的基因材料。(2)篩檢材料建立白葉枯病抗病基因與我國病原菌間的專一關係。(3)篩檢乾旱下仍具有相當產量與中等米質的耐旱種原。(4)分別檢定新育成品種(系)的白葉枯病抵抗性與耐旱特性。,"抗性, 材料, 基因, 抵抗性, 菌株, 病原菌, 抗病, 本土, 培育"
良質米研究團隊-水稻面對氣候變遷淹水逆境品種改良與栽培技術研究,"[174, 488, 706]","水稻, 品質, 淹水",農業,農業,本計畫主要目的為解決氣候變遷下，良質米栽培生產所面臨的問題，以淹水逆境對稻米品質影響為主。此研究以完全淹水與部份淹水為處理，在不同水稻生育期進行淹水7天，以收穫期稻米品質影響程度為評估標準。自99年由耐淹雜交後裔選出優良6~10個水稻新品系，於第1期作進行初級產量比較試驗。第2期作由初級產量比較試驗中選出3~5品系，進入高級產量比較試驗。於第2期作由初級試驗中選出3~4個品系，進行高級產量比較試驗，由其中晉昇1~2品系參加次年區域試驗。,"品系, 期作, 水稻, 良質, 生育期, 部份, 栽培"
因應氣候變遷建立玉米採種體系,"[217, 576, 982, 985, 986, 988, 1183]","玉米, 氣候變遷, 種子披衣, 種子造粒, 種子滲調, 種子膜衣, 雜糧玉米",農業,農業,調查不同雜交玉米品種對於採種生產之影響，掌握採種栽培時序，建立雜交玉米採種模式以因應氣候變遷及調整採種時期。尋求最適雜交玉米台南24號及台農1號玉米採種之方法，進而提高產量以穩定雜交玉米F1種子供應。,"栽培, 模式, 方法"
因應氣候變遷果樹品種改良及栽培技術改進,"[144, 269, 325, 354, 384, 395, 433, 551, 576, 630, 811, 827, 1008, 1024, 1101, 1185]","日燒, 全球暖化, 低溫害, 忍受性, 芒果果園, 防護, 果樹, 套袋, 氣候變遷, 逆境, 番荔枝, 裂果, 網室栽培, 鳳梨, 螢光反應, 離子滲漏",農糧,農糧,一般而言，人們欲改變氣候變遷對作物生長的影響，可以改變環境或改變植物對環境的反應，但前者所需成本極高。另外，園藝作物中蔬菜和花卉大都屬短期作物，針對氣候變遷，以改變栽植時期及栽培地區或利用簡易設施即可因應。但果樹為長期作物，自栽植至結果約需5-10年，經濟年限可達30年，所以氣候變遷對果樹產業的影響較嚴重，需提早研發因應對策。氣候變遷及暖化已有報告指出對果樹的影響有栽培地的轉移、果實品質不良(如著色不良、果實肥大、貯藏性下降、不正常後熟等)、休眠不足、開花異常、病蟲害情況改變等，其它如根群發育、果皮障礙等亦易發生。所以短期而言，會因栽培成本的增加及品質的下降，而影響農家收入及水果供應量，長期而言若無妥適的對策，將使整體果樹產業萎縮，進而使食物供應發生不足。而最有可能解決的對策即透過品種以忍受各種逆境。,"栽培, 作物, 著色, 會因, 成本, 逆境, 果皮, 年限, 花卉"
氣候變遷影響下農地資源合理利用與儲備機制之研究,"[127, 214, 576, 901, 905]","分級分區, 永續土地管理, 氣候變遷, 農地利用, 農地儲備",農業政策研究及科技管理,"農業政策, 科技, 管理, 研究",隨著氣候變遷對土地利用模式衝擊的深化，調整現有土地管理機制乃是未來新的因應措施。在各種土地利用活動中，農業是一個對土地依存度最高，也深受氣候影響的活動。因此，有效維護並管理農地資源，乃係調適氣候變遷的重要策略。同時，永續農地資源保護，不僅可以降低本國糧食安全的風險，亦可強化國土環境對氣候變遷的回復力。秉持此一精神，本研究基於永續土地管理的概念，嘗試評估氣候變遷對臺灣農糧總量之衝擊，檢討現行分級分區管制相關研究，並對未來農地儲備機制之可行性進行研擬。藉此，本研究期望可為臺灣農地資源永續利用提供一套儲備構想，針對不同農地分級分區之特性，賦予不同儲備目標及功能，使之能為氣候變遷調適有所貢獻，促成臺灣永續農業環境之實現。,"研究, 土地, 依存度, 可行性, 管制"
建立因應氣候變遷之農業知識系統及策略之研究,"[450, 451, 576]","知識系統, 知識管理, 氣候變遷",農業政策研究及科技管理,"農業政策, 科技, 管理, 研究",本年度之計畫目標將針對各部會有關氣候變遷所研擬的因應策略進行資料蒐集，同時針對相關學者專家進行訪談，以建構災害發生前後的知識系統，包括知識產生、儲存、轉移等。同時針對災區與非災區農民進行調查，探討如何將氣候變遷的有關的知識、技術、新觀念或新消息等，藉著不同的傳播方式有效傳遞給農民，以期改變他們的態度與行為。在傳播過程中，受播者對傳播媒體與傳播訊息有自選性的作用，其會有選擇性的暴露，選擇接觸個人喜歡的媒體與訊息；選擇性的注意，選擇引起注意到的訊息加以反應；選擇性的認知，基於自己的認知以理解訊息；及選擇性的記憶，選擇符合興趣，意願及有利的部份加以保留，故需掌握傳播活動或設計的訊息內容，以符合受播者自選性，如此結果才可能事半功倍。最後農民的觀念或行為改變能促使其農業生產、生活及生態，在面對氣候變遷的影響能降低損失。本年度計畫之具體目標為：(1)針對各部會有關氣候變遷所研擬的因應策略進行資料蒐集、(2)進行農政學者專家深度訪談，以建構氣候變遷的知識系統、(3)透過量化方式進行問卷調查，分析災區與非災區農民的個人背景資料、對氣候變遷傳播策略的看法等。(4)根據資料分析結果，提出因應氣候變遷之因應做法，建構農作物生產及銷售之防災與復健之策略，作為農政單位未來輔導農民之參考。有鑑於過去國內對於氣候變遷的相關研究多以自然科學為主，對於其如何影響農業部門的社會經濟發展，以及其對農場經營所造成的衝擊，曾有少數農經研究關注氣候變遷與天氣因素對於作物生產與市場價格的影響；相對的，農民對於氣候變遷應具備的認知，或是農民對於異常天氣與氣候風險的調適能力，甚至是農業推廣機關（構）如何協助與輔導農民因應全球暖化的氣候變遷挑戰，相關的學術研究則付諸闕如，故進行本計畫可達成預期效益如下：(1)彙整各部會有關因應氣候變遷之相關知識宣導並將其相關知識系統化分類。(2)透過本研究研擬氣候變遷下農業推廣體系適用之知識包裏。(3)提出因應氣候變遷之具體推廣策略，作為農政單位未來輔導農民之參考。,"蒐集, 受播者, 策略, 研究, 部份, 分析"
建構台灣農作物氣象諮詢服務體系及災害主動預警系統,"[4, 36, 70, 283, 535, 924]","Agrometeorological Disaster, Geograpgical Information System, Risk Analysis, 地理資訊系統, 風險分析, 農業氣象災害",,,,
應用環控裝置改善茶園微氣候及對茶葉生育之影響,"[752, 848, 1123, 1150]","寒害, 微氣候, 環控技術, 霜害",環境及資源,"環境, 資源",台灣地區茶樹栽培環境從北到南，低海拔到高海拔，氣候多變，在茶樹生長發育過程中，難免會遭受各式氣象變化的損害，因此本計畫主要針對茶樹寒霜害的部份進行研究，規劃試驗區及建構環控監測裝置等設備，調查及彙整該試驗點附近之氣候環境變化，做為試驗點環控系統調整之依據。並進行茶葉的農藝性狀調查、茶葉製造、官能品評與化學分析。利用環控監測技術預測天候變化，在霜害前即時啟動風扇、樹冠面加熱設備及防護警報，使茶農能即時進行茶園防護作業，改善茶園微氣候，使茶園受霜凍害之程度降至最低。另外，定時讀取茶園地溫與氣溫資料，分析茶樹生育狀況，有利於後續茶葉栽培管理作業及調整採收期。希望藉由本研究能瞭解茶園生育環境微氣候概況，利用現有栽培與環控技術，期能有效改善茶園栽培環境，提升茶葉品質與茶農經濟效益。,"栽培, 霜害, 生育, 海拔, 啟動, 期能, 天候, 官能, 部份, 利用"
臺灣茶區氣象變化與茶葉生產技術調整之研究,"[576, 579, 617]","氣候變遷, 氣象災害, 茶",環境及資源,"環境, 資源",近年來因全球氣候變遷，氣候變化劇烈，各地區微氣候皆有所改變，兩極化的氣候變化造成氣象災害頻傳導致農業損失慘重；茶葉為台灣極具競爭優勢之經濟作物，為確保茶區茶葉產量與品質，需更加注意氣候條件的變化，因此茶區氣象資料之收集、整理有其必要，本計畫將以中央氣象局在台灣所設置的觀測站中，挑選出位於各主要茶葉產區之觀測站，進行中區、南區、北區及花東區之測站所記錄到的氣象資料之收集整理，並判斷氣候變遷對各茶區氣候條件影響程度，並將各茶區氣象變化資料與現今氣象資料比較，評估今昔變化，了解各區微氣候，並運用氣象觀測相關設備，期能提供相關氣象資料供農民作為預防氣象災害，調整茶葉栽培產製之模式之參考，以減少因氣候變遷所帶來之氣象災害損失。,"茶區, 期能, 收集整理, 栽培, 整理, 模式, 有所, 程度"
農業氣象觀測與資源規劃應用,"[3, 5, 11, 22, 24, 51, 54, 69, 80, 83, 174, 177, 578, 581, 582, 713, 801, 913, 923, 925, 1217]","Agrometeorological, Agrometeorology Observation, Climate, Feohn, Foehn, Meteorological Station, Observation, Rice, Weather Data, Yield, 水稻, 水稻品種, 氣象, 氣象站, 氣象記錄, 產量, 焚風, 農業生產, 農業氣象, 農業氣象觀測, 觀測",環境及資源,"環境, 資源",利用本場農業氣象站自動觀測系統設備，觀測記錄氣象資料，觀測項目有溫度(包括平均溫度、最高溫度與最低溫度)、濕度、露點溫度、地中溫度(包括地下5、10、20、30、50、100公分)、日照時數、日射量、降雨量、蒸發量、風速風向以及氣壓等。每日上午9時與下午2時以阿斯曼溫度計各觀測一次，以校驗自動觀測系統儀器。,"濕度, 射量, 公分, 降雨量, 利用"
農業氣象觀測及作物生理動態監測系統之研究,"[330, 576, 579, 648, 734, 923]","作物生理, 氣候變遷, 氣象災害, 高溫害, 通量, 農業氣象",環境及資源,"環境, 資源",自動觀測系統所蒐集氣象資料提供農業試驗研究及適地適作研究之用，同時可作為農業氣象災害防範與預報。同時調查農業生產有關之氣象因素，建立農業氣象資料，提供作物模式驗證及運用。氣象監測是農業生產及生態永續經營的重要工作，尤其是面對未來可能亟劇改變之氣候情景，氣象訊息的收集及分析更顯得迫切。但農業是複雜的生態體系，包括氣候能量分布，碳素轉換機制，及水分循環流布，需更精確量測大氣渦流及氣象通量之瞬間變化，才能對各項能量的產生、傳送及轉換有所瞭解。本文探討農田各項氣象通量之定義、量測方式及限制，包括可感熱通量、水汽通量及二氧化碳通量等，並以水田（水稻）及旱田（玉米）等不同農業生產環境之實測資料。,"通量, 能量, 蒐集, 旱田, 碳素, 水汽"
因應氣候變遷之優質雜草管理對不同期作水稻生產之影響,"[174, 583, 764, 1012, 1014, 1182]","水稻, 氣象環境, 期作差異, 臺南11號, 臺?9號, 雜草管理",環境及資源,"環境, 資源",本研究計畫目標旨在調查水稻田在兩期稻作環境下雜草族群種類與數量之差異，以及針對主要雜草種類投施不等除草劑次數之除草效果與對稻株早期生長之影響，同時比較不同水稻品種之間的異同，據以研擬環境親和型/生態型之水稻田雜草管理措施與策略，助益於水稻田之永續利用。,"稻株, 投施, 稻作, 族群, 效果, 策略, 措施, 利用, 研究"
氣候變遷對漁業之影響研究—臺灣周邊海域因氣候變遷流系消長對重要經濟性魚種漁業資源變動影響之研究,"[576, 587, 965]","氣候變遷, 海流, 漁業資料庫",環境及資源,"環境, 資源",氣候變遷對海洋環境與漁業之衝擊，雖然已有廣泛之討論，但尚無明確之模式可加預測，不過肯定與地球溫暖化有關。全球氣候改變之規模與速度，雖然尚有一些不確定因素，但其改變對漁業之影響已受到相當大之關注，其原因不僅由於人類生產、生活及生態環境保護所必需的，且因為魚是冷血動物，生命週期短，又棲息之水體又是彙集環境改變結果之處所，故氣候變遷改變對魚類之影響，也可提供人類社會因應或遏止環境變遷決策之重要參考。而氣候變遷所引起之風應力之變化，也導致臺灣周邊海域流系之消長，及湧昇、潮境之減弱或轉移位置，也可能對沿近海漁業之魚種、漁期造成改變。緣此本年度計畫對沿近海漁業之重要指洄游性及定棲性魚種開始進行考察。透過各漁業之漁船活動、氣象因子、聲光遙測等資料之彙整，利用時序列法、類似法等，評估臺灣沿近海指標性魚種資源與海洋環境變遷之相關性。,"流系, 潮境, 列法, 因子, 海域, 地球, 生命, 模式"
氣候變遷對漁業之影響研究-臺灣周邊海域基礎生產力監測及湧昇流漁業資源調查,"[166, 576, 679, 800, 937]","水溫, 氣候變遷, 基礎生產力, 湧昇流, 過漁指數",環境及資源,"環境, 資源",針對台灣周邊海域於不同季節進行船側調查，了解基礎生產力等水文資料之變動與季節變化及計算台灣週邊海域碳的生產量與臺灣週邊海洋環境特性的關係進行分析。了解沿近海域總漁獲量與基礎生產力之過漁參數與過漁指數變動趨勢。?匯整相關調查之水文資料了解台灣周邊海域地形性湧昇流之情況判斷湧升流的消長程度以利了解湧昇流漁場的變動。?利用湧昇流漁場的漁獲資料與基礎生產力及總固碳量關係進行比對以了解湧昇流漁場漁業漁獲量之過漁指數變化趨勢。?比對氣候變遷（聖嬰、反聖嬰及平常年）對湧昇流漁場的變化影響與季節變動狀況。,"海域, 水文, 匯整, 總固碳量, 特性, 地形"
氣候變遷情境下曾文水庫集水區降雨型態變遷研究,"[531, 576, 762]","降雨型態, 氣候變遷, 曾文水庫",環境及資源,"環境, 資源",本計畫針對降雨豐、枯期嚴重不均之曾文水庫集水區做為研究對象，蒐集曾文水庫集水區歷年雨量記錄及相關資料，藉由降雨日/無雨日分類來分析集水區的歷史降雨時間特性，且配合大氣環流模式推估氣候變遷情境下的降雨時間特性變化。本計畫預期成果如下：(1) 瞭解曾文水庫集水區的歷史降雨時間特性(2) 推估未來氣候變遷情境下曾文水庫集水區的降雨時間特性變化(3) 避免時間降尺度模式的不確定性，提供未來水資源管理及調配的參考資訊,"降雨, 特性, 情境, 模式, 蒐集, 雨量"
氣候變遷下潛勢蒸發散對農業水資源之衝擊研究,"[195, 576, 1038]","可再生水資源, 氣候變遷, 潛勢蒸發散量",環境及資源,"環境, 資源",本計畫目的在於探討氣候變遷下潛勢蒸發散對農業水資源之衝擊影響分析，文中首先利用Penman-Monteith方程式推估集水區未來潛勢蒸發散，將潛勢蒸發散轉換為實際蒸發散後，依大氣水平衡之概念推求集水區可再生水資源量，以提供農業用水單位未雨綢繆擬定適應之用水對策。,"方程式, 用水, 概念, 目的, 利用, 分析"
氣候變遷對灌溉缺水風險之影響評估,"[534, 576, 1203]","風險, 氣候變遷, 灌溉",環境及資源,"環境, 資源",本研究採用序率模擬技術建立農田灌溉缺水風險之評估技術以瞭解不同氣候變遷情境下嘉南灌區農田灌溉缺水之風險，做為擬定因應氣候變遷農業水資源規劃之調適策略之參考。＜?,"缺水, 情境, 研究"
因應氣候變遷補充灌溉水井與水田空間關係研究,"[157, 280, 576]","水田, 地下水, 氣候變遷",環境及資源,"環境, 資源",乾旱是指一段較長時間內降雨不足的現象。對於農業而言，乾旱直接影響了作物的產量。台灣地區雖然雨量豐沛，但因為降雨在時空上分配不均，造成多次的乾旱現象。乾旱缺水對於農業的影響屬於偶發事件，所以可以利用地下水作為補充灌溉用水，且已在雲林、嘉南、屏東行之有年，但是為避免過度抽水，以致衍生地層下陷問題，因此，應用地下水補充灌溉用水的相關評估則為必要的工作。另一方面而言，溫室效應所造成的氣候變遷，是影響地球未來氣候的重要因素，極端氣候發生的可能性越來越高，台灣也可能發生比歷史資料所見更加乾旱的情形，為了解將來氣候變遷所造成的乾旱對於水田灌溉的影響，本計畫擬以物理性大氣環流模式，預測台南地區未來氣候變遷的可能性，並應用ANFIS研究灌溉水井與水田空間關係。本計畫的目標為進一步了解灌區內多灌溉水井與水田的空間關係，提供未來乾旱時期休耕及如何利用地下水補充灌溉用水的依據。,"地下水, 灌溉, 水井, 降雨, 水田, 可能性"
氣候變遷下台灣北部地區臭氧之變化潛勢,"[576, 613, 1191]","氣候變遷, 臭氧, 類神經網路",環境及資源,"環境, 資源",氣候變遷的相關議題在近年來已成為眾所矚目的焦點，經由前人的研究發現，與動植物生存及成長息息相關的空氣品質問題，亦會受到氣候變遷的影響而有所變化。評估空氣品質的指標有許多種，臭氧濃度是其中一個重點評估項目，其對人體健康及作物的成長均有影響。於臺灣地區的空氣監測結果中，亦可發現臭氧是臺灣目前主要的空氣污染物之一，尤其在人口越密集的地區，臭氧濃度有越高的趨勢。本計畫擬收集氣象因子與臭氧濃度資料，分析氣象因子與臭氧濃度的關係，並選擇合適的類神經網路，利用類神經網路能處理高度非線性問題、架構簡單且迅速的優勢，連結氣象因子與臭氧濃度之間的複雜關係，藉此探討在大環境的氣候變遷影響下，臭氧濃度未來的變化潛勢。此成果將可作為未來空氣品質的重要參考，期望能有助於相關單位制定政策或方向，以減少空氣污染對人民健康及農作物成長可能造成的負面影響。,"因子, 臭氧, 污染物, 前人, 作物"
氣候變遷下考量農業用水調配之乾旱供水風險分析,"[379, 576, 663]","系統動力學, 氣候變遷, 區域水資源",環境及資源,"環境, 資源",近年來區域水文時空變化之不確定性及未來全球氣候變遷對於降雨時空分布的影響，預期區域公共用水與農業用水的缺水風險將不斷升高。故宜及早以管理風險及降低風險衝擊的理念，進行區域水資源供應風險管理機制的規劃評估，並提出適當的公共用水與農業用水缺水風險回應計畫。 有鑑於此，本計畫針對石門水庫現況水資源供應系統，考量水文不確定的風險，建置其相應的公共用水與農業用水缺水風險分析模型。 藉由第一年的計畫結果得到石門集水區之合成流量，此合成流量為水資源調配分析之基礎，可作為第二年進行氣候變遷下農業用水衝擊分析之準備。第二年計畫為建立石門水庫水資源調配模式，並研擬適合之乾旱應變規則，以分析石門水庫受氣候變遷影響之供水風險。,"缺水, 用水, 水文, 流量, 分析, 分析模型, 故宜, 降雨, 考量, 供水"
